"House Price Index by region; existing own homes; 2010 = 100"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Flevoland (PV)";"2015 3rd quarter";"90.2";"1.4";"2.6";"1201";"43.5";"42.5"
"Flevoland (PV)";"2015 4th quarter";"90.7";"0.5";"1.2";"1149";"-4.3";"3.9"
"Flevoland (PV)";"2015";"89.5";"1.4";"1.4";"4020";"19.4";"19.4"
"Flevoland (PV)";"2016 1st quarter";"91.6";"1.1";"4.1";"1038";"-9.7";"24.6"
"Flevoland (PV)";"2016 2nd quarter";"92.2";"0.6";"3.6";"1160";"11.8";"38.6"
"Flevoland (PV)";"2016 3rd quarter";"94.8";"2.7";"5.0";"1429";"23.2";"19.0"
"Flevoland (PV)";"2016 4th quarter";"96.4";"1.7";"6.3";"1538";"7.6";"33.9"
"Flevoland (PV)";"2016";"93.8";"4.8";"4.8";"5165";"28.5";"28.5"
"Flevoland (PV)";"2017 1st quarter";"97.7";"1.4";"6.7";"1447";"-5.9";"39.4"
"Gelderland (PV)";"2010";"100.0";"-2.1";"-2.1";"13880";"0.4";"0.4"
"Gelderland (PV)";"2011 1st quarter";"98.9";"-0.5";"-0.6";"3066";"-19.0";"1.6"
"Gelderland (PV)";"2011 2nd quarter";"97.3";"-1.6";"-3.1";"3170";"3.4";"-8.5"
"Gelderland (PV)";"2011 3rd quarter";"96.3";"-1.0";"-4.5";"3388";"6.9";"-6.2"
"Gelderland (PV)";"2011 4th quarter";"94.7";"-1.7";"-4.7";"3378";"-0.3";"-10.7"
"Gelderland (PV)";"2011";"96.8";"-3.2";"-3.2";"13002";"-6.3";"-6.3"
"Gelderland (PV)";"2012 1st quarter";"93.6";"-1.1";"-5.3";"2591";"-23.3";"-15.5"
"Gelderland (PV)";"2012 2nd quarter";"91.8";"-1.9";"-5.6";"3939";"52.0";"24.3"
